sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
Galveston County District Attorney Kurt Sistrunk said his office received the recordings this week.	Galveston County District Attorney Kurt Sistrunk told Criss Wednesday his office only this week received the recordings.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 0, 7, 7, 7, 0, 0, 0, 0]	['Galveston', 'County', 'District', 'Attorney', 'Kurt', 'Sistrunk', 'said', 'his', 'office', 'received', 'the', 'recordings', 'this', 'week', '.']	['Galveston', 'County', 'District', 'Attorney', 'Kurt', 'Sistrunk', 'told', 'Criss', 'Wednesday', 'his', 'office', 'only', 'this', 'week', 'received', 'the', 'recordings', '.\n']	a0fb0d44ab584fc999249089b6a4b655
No official ceremony was planned to mark the anniversary in Dallas.	In Dallas, no official ceremony marked the anniversary.	[2, 6, 7, 0, 0, 0, 0]	[6, 6, 6, 2, 2, 2, 2, 6, 6, 7, 7, 6]	[7, 7, 7, 6, 6, 6, 2, 6, 6, 6]	['No', 'official', 'ceremony', 'was', 'planned', 'to', 'mark', 'the', 'anniversary', 'in', 'Dallas', '.']	['In', 'Dallas', ',', 'no', 'official', 'ceremony', 'marked', 'the', 'anniversary', '.\n']	83b8ce8169024c4799dea06bc4381e0d
"""The president's campaign in 2000 set a standard for disclosure in political fund raising, and the campaign will again in 2004,"" Bush campaign spokesman Dan Ronayne said."	"""The president's campaign in 2000 set a standard for disclosure in political fund raising and the campaign will again in 2004,"" said Dan Ronayne, a campaign spokesman."	[4, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 4, 4, 4, 4, 7, 6]	[7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 4, 4, 4, 4, 4, 4, 7]	"['``', 'The', 'president', ""'s"", 'campaign', 'in', '2000', 'set', 'a', 'standard', 'for', 'disclosure', 'in', 'political', 'fund', 'raising', ',', 'and', 'the', 'campaign', 'will', 'again', 'in', '2004', ',', ""''"", 'Bush', 'campaign', 'spokesman', 'Dan', 'Ronayne', 'said', '.']"	"['``', 'The', 'president', ""'s"", 'campaign', 'in', '2000', 'set', 'a', 'standard', 'for', 'disclosure', 'in', 'political', 'fund', 'raising', 'and', 'the', 'campaign', 'will', 'again', 'in', '2004', ',', ""''"", 'said', 'Dan', 'Ronayne', ',', 'a', 'campaign', 'spokesman', '.\n']"	e2d4b9fa30bc4cee8fb5072e84f8beda
The shares fell 72 cents, or 3.8 percent, to $18.34 Monday on the New York Stock Exchange.	Schering-Plough shares fell 3.8 percent, or 72 cents, to close at $18.34 in trading Monday on the New York Stock Exchange.	[3, 6, 7, 0, 0, 0, 0]	[3, 3, 0, 7, 7, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 3, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['The', 'shares', 'fell', '72', 'cents', ',', 'or', '3.8', 'percent', ',', 'to', '$', '18.34', 'Monday', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', '.']	['Schering-Plough', 'shares', 'fell', '3.8', 'percent', ',', 'or', '72', 'cents', ',', 'to', 'close', 'at', '$', '18.34', 'in', 'trading', 'Monday', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', '.\n']	36a80446769a40d4bcf22d9156452cf3
The center has a budget of $45 million, most of which will be spent on research and testing, Bridges said.	The safety center has a $45 million budget for its first year, much of which will be spent on tests and analyses.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 3, 3, 3, 3, 3, 3, 7, 2, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 7, 7]	[0, 7, 0, 0, 3, 3, 3, 3, 3, 7, 7, 7, 7, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]	['The', 'center', 'has', 'a', 'budget', 'of', '$', '45', 'million', ',', 'most', 'of', 'which', 'will', 'be', 'spent', 'on', 'research', 'and', 'testing', ',', 'Bridges', 'said', '.']	['The', 'safety', 'center', 'has', 'a', '$', '45', 'million', 'budget', 'for', 'its', 'first', 'year', ',', 'much', 'of', 'which', 'will', 'be', 'spent', 'on', 'tests', 'and', 'analyses', '.\n']	21966aafe8014867860ecd6bada2da14
Federal prosecutors, the Securities and Exchange Commission, and the mortgage company's regulator launched investigations into Freddie Mac's shake-up.	The Securities and Exchange Commission and the U.S. Attorney have opened investigations into Freddie Mac over its accounting practices.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 1, 0, 0, 0, 0, 0, 2, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 0, 0, 2, 2, 7]	"['Federal', 'prosecutors', ',', 'the', 'Securities', 'and', 'Exchange', 'Commission', ',', 'and', 'the', 'mortgage', 'company', ""'s"", 'regulator', 'launched', 'investigations', 'into', 'Freddie', 'Mac', ""'s"", 'shake-up', '.']"	['The', 'Securities', 'and', 'Exchange', 'Commission', 'and', 'the', 'U.S.', 'Attorney', 'have', 'opened', 'investigations', 'into', 'Freddie', 'Mac', 'over', 'its', 'accounting', 'practices', '.\n']	64a5375e65d84e608edb6c50ecd88463
"""More than 70,000 men and women from bases in Southern California were deployed in Iraq."	In all, more than 70,000 troops based in Southern California were deployed to Iraq.	[1, 2, 5, 6, 7, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[7, 7, 7, 6, 6, 6, 2, 1, 6, 6, 6, 6, 6, 2, 6, 6]	['``', 'More', 'than', '70,000', 'men', 'and', 'women', 'from', 'bases', 'in', 'Southern', 'California', 'were', 'deployed', 'in', 'Iraq', '.']	['In', 'all', ',', 'more', 'than', '70,000', 'troops', 'based', 'in', 'Southern', 'California', 'were', 'deployed', 'to', 'Iraq', '.\n']	dab835cf78e94a518f4d8a43a12d3622
The other 18 people in the building, including Harrison's ex-girlfriend, were not injured, police spokesman Don Aaron said.	The other 18 people inside the building - two visitors and 16 employees, including Harrison's ex-girlfriend - escaped unharmed, Aaron said.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['The', 'other', '18', 'people', 'in', 'the', 'building', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', ',', 'were', 'not', 'injured', ',', 'police', 'spokesman', 'Don', 'Aaron', 'said', '.']"	"['The', 'other', '18', 'people', 'inside', 'the', 'building', '-', 'two', 'visitors', 'and', '16', 'employees', ',', 'including', 'Harrison', ""'s"", 'ex-girlfriend', '-', 'escaped', 'unharmed', ',', 'Aaron', 'said', '.\n']"	7d2bd57ed78d4223a5e70d938f191a55
At least 27 US troops have been killed in hostile fire since Bush's statement.	At least 26 American troops have been killed in hostile fire since major combat was officially declared over on May 1.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 6, 2, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 7]	[6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 7, 7, 7, 6]	"['At', 'least', '27', 'US', 'troops', 'have', 'been', 'killed', 'in', 'hostile', 'fire', 'since', 'Bush', ""'s"", 'statement', '.']"	['At', 'least', '26', 'American', 'troops', 'have', 'been', 'killed', 'in', 'hostile', 'fire', 'since', 'major', 'combat', 'was', 'officially', 'declared', 'over', 'on', 'May', '1', '.\n']	c8eb48014a48435aa367bb800193070a
Two brothers who were among seven Portland suspects accused of aiding terrorists have decided to plead guilty to conspiring to aid al-Qaida and the Taliban, officials said Wednesday.	Two brothers who were among seven people accused of aiding terrorists pleaded guilty yesterday to charges of conspiring to help Al Qaeda and the Taliban during the war in Afghanistan.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 7, 0, 0, 0, 0, 0, 7]	['Two', 'brothers', 'who', 'were', 'among', 'seven', 'Portland', 'suspects', 'accused', 'of', 'aiding', 'terrorists', 'have', 'decided', 'to', 'plead', 'guilty', 'to', 'conspiring', 'to', 'aid', 'al-Qaida', 'and', 'the', 'Taliban', ',', 'officials', 'said', 'Wednesday', '.']	['Two', 'brothers', 'who', 'were', 'among', 'seven', 'people', 'accused', 'of', 'aiding', 'terrorists', 'pleaded', 'guilty', 'yesterday', 'to', 'charges', 'of', 'conspiring', 'to', 'help', 'Al', 'Qaeda', 'and', 'the', 'Taliban', 'during', 'the', 'war', 'in', 'Afghanistan', '.\n']	63c1309978c841b4958ec93698ff1080
Eighty-six seriously wounded U.N. workers were airlifted out for medical care.	Eighty-six U.N. workers who were wounded in Tuesday's bombing were airlifted out for medical care.	[4, 6, 7, 0, 0, 0, 0]	[7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Eighty-six', 'seriously', 'wounded', 'U.N.', 'workers', 'were', 'airlifted', 'out', 'for', 'medical', 'care', '.']	"['Eighty-six', 'U.N.', 'workers', 'who', 'were', 'wounded', 'in', 'Tuesday', ""'s"", 'bombing', 'were', 'airlifted', 'out', 'for', 'medical', 'care', '.\n']"	3c6ce70fc0b7482d89125efd6a288db9
Spansion products are to be available from both AMD and Fujitsu, AMD said.	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.	[1, 2, 3, 6, 7, 0, 0]	[7, 2, 1, 1, 1, 1, 7, 3, 3, 3, 3, 7, 7, 7, 7]	[7, 2, 2, 2, 1, 1, 7, 7, 3, 3, 3, 7]	['Spansion', 'products', 'are', 'to', 'be', 'available', 'from', 'both', 'AMD', 'and', 'Fujitsu', ',', 'AMD', 'said', '.']	['Spansion', 'Flash', 'memory', 'solutions', 'are', 'available', 'worldwide', 'from', 'AMD', 'and', 'Fujitsu', '.\n']	f1732f21b860402a926130bb31252915
U.S. corporate bond yield spreads opened tighter overall on Tuesday, but tobacco company bonds widened significantly after an adverse legal ruling on Philip Morris USA.	U.S. corporate bond yield spreads ended mostly tighter amid slumping Treasuries on Tuesday, while bonds of tobacco firms widened significantly after an adverse legal ruling on Philip Morris USA.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 3, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 2, 7, 0, 7, 7, 7, 0, 0, 0, 2, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['U.S.', 'corporate', 'bond', 'yield', 'spreads', 'opened', 'tighter', 'overall', 'on', 'Tuesday', ',', 'but', 'tobacco', 'company', 'bonds', 'widened', 'significantly', 'after', 'an', 'adverse', 'legal', 'ruling', 'on', 'Philip', 'Morris', 'USA', '.']	['U.S.', 'corporate', 'bond', 'yield', 'spreads', 'ended', 'mostly', 'tighter', 'amid', 'slumping', 'Treasuries', 'on', 'Tuesday', ',', 'while', 'bonds', 'of', 'tobacco', 'firms', 'widened', 'significantly', 'after', 'an', 'adverse', 'legal', 'ruling', 'on', 'Philip', 'Morris', 'USA', '.\n']	b90191e112ea4a3a90921bf271ec0882
Mrs Boncyk's husband, Wayne, had taken the family car to work, so his wife and children had to ride with neighbours.	Mrs. Boncyk's husband, Wayne, had taken the family's only car to work, so she and the children had to catch a ride with neighbors.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 3, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0]	"['Mrs', 'Boncyk', ""'s"", 'husband', ',', 'Wayne', ',', 'had', 'taken', 'the', 'family', 'car', 'to', 'work', ',', 'so', 'his', 'wife', 'and', 'children', 'had', 'to', 'ride', 'with', 'neighbours', '.']"	"['Mrs.', 'Boncyk', ""'s"", 'husband', ',', 'Wayne', ',', 'had', 'taken', 'the', 'family', ""'s"", 'only', 'car', 'to', 'work', ',', 'so', 'she', 'and', 'the', 'children', 'had', 'to', 'catch', 'a', 'ride', 'with', 'neighbors', '.\n']"	7f27af42c48345d895786f2537932332
Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.	The health department spokesperson added the department is following Centers for Disease Control protocol.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 2, 2, 0, 0, 7, 0, 0, 0, 0, 7, 7, 2, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7]	['Knox', 'County', 'Health', 'Department', 'is', 'following', 'national', 'Centers', 'for', 'Disease', 'Control', 'and', 'Prevention', 'Protocol', 'to', 'contain', 'infection', '.']	['The', 'health', 'department', 'spokesperson', 'added', 'the', 'department', 'is', 'following', 'Centers', 'for', 'Disease', 'Control', 'protocol', '.\n']	ae202b1440144576a057ded84e4c3f39
In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.	In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 2, 7, 1, 1, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['In', 'Canada', ',', 'the', 'booming', 'dollar', 'will', 'be', 'in', 'focus', 'again', 'as', 'it', 'tries', 'to', 'stay', 'above', 'the', '75', 'cent', '(', 'U.S.', ')', 'mark', '.']	['In', 'Canada', ',', 'the', 'surging', 'dollar', 'was', 'in', 'focus', 'again', 'as', 'it', 'struggled', 'and', 'just', 'failed', 'to', 'stay', 'above', 'the', '75', 'cent', '(', 'U.S.', ')', 'mark', '.\n']	dc6575ebc44f4a5182ce12b466d5ee8f
Santa Clara-based Intel had sought the injunction, arguing that Hamidi was trespassing on its computer servers just as though he were intruding on private property.	A lower court had considered Hamidi to be trespassing on the Santa Clara-based chipmaker's servers, just as if somebody were squatting on a piece of physical private property.	[2, 3, 5, 6, 7, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 2, 2, 2, 2, 2, 2, 0, 6, 6, 2, 2, 6, 2, 6, 3, 3, 3, 7, 3, 3, 6]	['Santa', 'Clara-based', 'Intel', 'had', 'sought', 'the', 'injunction', ',', 'arguing', 'that', 'Hamidi', 'was', 'trespassing', 'on', 'its', 'computer', 'servers', 'just', 'as', 'though', 'he', 'were', 'intruding', 'on', 'private', 'property', '.']	"['A', 'lower', 'court', 'had', 'considered', 'Hamidi', 'to', 'be', 'trespassing', 'on', 'the', 'Santa', 'Clara-based', 'chipmaker', ""'s"", 'servers', ',', 'just', 'as', 'if', 'somebody', 'were', 'squatting', 'on', 'a', 'piece', 'of', 'physical', 'private', 'property', '.\n']"	11e2229ab2a041249c1a547d3823b232
Median household income declined 1.1 percent between 2001 and 2002 to $42,409.	The median household earned income fell $500 over the same period to $42,400.	[2, 3, 6, 7, 0, 0, 0]	[3, 3, 3, 2, 6, 6, 2, 2, 2, 2, 7, 7, 6, 7]	[3, 3, 3, 7, 3, 2, 0, 0, 2, 2, 2, 2, 6, 6, 6, 6]	['Median', 'household', 'income', 'declined', '1.1', 'percent', 'between', '2001', 'and', '2002', 'to', '$', '42,409', '.']	['The', 'median', 'household', 'earned', 'income', 'fell', '$', '500', 'over', 'the', 'same', 'period', 'to', '$', '42,400', '.\n']	1b4281c502304fd4a48a08da0084416c
In Nigeria alone, the report said, as many as 1 million women may be living with the condition.	In Nigeria alone, the report estimated that between 100,000 and 1 million girls and women are suffering from the condition.	[1, 2, 5, 6, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]	['In', 'Nigeria', 'alone', ',', 'the', 'report', 'said', ',', 'as', 'many', 'as', '1', 'million', 'women', 'may', 'be', 'living', 'with', 'the', 'condition', '.']	['In', 'Nigeria', 'alone', ',', 'the', 'report', 'estimated', 'that', 'between', '100,000', 'and', '1', 'million', 'girls', 'and', 'women', 'are', 'suffering', 'from', 'the', 'condition', '.\n']	b2711331b80c4d8eac79dc12f81aae40
Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.	NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.	[2, 3, 4, 6, 7, 0, 0]	[4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Frank', 'Quattrone', ',', 'the', 'former', 'Credit', 'Suisse', 'First', 'Boston', 'technology', 'investment-banking', 'guru', ',', 'reportedly', 'pleaded', 'not', 'guilty', 'Tuesday', 'to', 'charges', 'of', 'obstruction', 'of', 'justice', 'and', 'witness', 'tampering', '.']	['NEW', 'YORK', '-', '(', 'Dow', 'Jones', ')', '-', 'Former', 'star', 'investment', 'banker', 'Frank', 'Quattrone', 'pleaded', 'not', 'guilty', 'Tuesday', 'to', 'criminal', 'charges', 'of', 'obstruction', 'of', 'justice', 'and', 'witness', 'tampering', '.\n']	43a87a5f183f4263a56db1e461191cf5
"""I am happy to be here in the United States, far away from the clutches of the tyrant Castro,"" Wilson said through a Spanish interpreter."	"""I am very happy to be here in the United States far away from the clutches of the tyrant Castro,"" Wilson told the judge."	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 2, 6, 6, 6, 6, 7]	[6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6]	"['``', 'I', 'am', 'happy', 'to', 'be', 'here', 'in', 'the', 'United', 'States', ',', 'far', 'away', 'from', 'the', 'clutches', 'of', 'the', 'tyrant', 'Castro', ',', ""''"", 'Wilson', 'said', 'through', 'a', 'Spanish', 'interpreter', '.']"	"['``', 'I', 'am', 'very', 'happy', 'to', 'be', 'here', 'in', 'the', 'United', 'States', 'far', 'away', 'from', 'the', 'clutches', 'of', 'the', 'tyrant', 'Castro', ',', ""''"", 'Wilson', 'told', 'the', 'judge', '.\n']"	ec2c32a55486448bb3b59a7f7477de1f
"""30 years waiting for you,"" read one banner hoisted over the crowd, as many wept tears of happiness at finally seeing and hearing their idol."	"""30 years waiting for you,"" read one banner hoisted over the crowd, as many concert-goers wept tears of happiness."	[2, 6, 7, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7]	"['``', '30', 'years', 'waiting', 'for', 'you', ',', ""''"", 'read', 'one', 'banner', 'hoisted', 'over', 'the', 'crowd', ',', 'as', 'many', 'wept', 'tears', 'of', 'happiness', 'at', 'finally', 'seeing', 'and', 'hearing', 'their', 'idol', '.']"	"['``', '30', 'years', 'waiting', 'for', 'you', ',', ""''"", 'read', 'one', 'banner', 'hoisted', 'over', 'the', 'crowd', ',', 'as', 'many', 'concert-goers', 'wept', 'tears', 'of', 'happiness', '.\n']"	f08aa28aa7e34372ae8580b8f17503ac
TSMC also accused Syndia of trying to interfere with its customer relationships.	TSMC feels that Syndia's actions are designed to interfere with TSMC's customer relationships, the company said.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 6, 7, 6, 6, 7, 7, 7, 2, 7, 7, 7]	[7, 6, 6, 7, 0, 6, 6, 6, 6, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7]	['TSMC', 'also', 'accused', 'Syndia', 'of', 'trying', 'to', 'interfere', 'with', 'its', 'customer', 'relationships', '.']	"['TSMC', 'feels', 'that', 'Syndia', ""'s"", 'actions', 'are', 'designed', 'to', 'interfere', 'with', 'TSMC', ""'s"", 'customer', 'relationships', ',', 'the', 'company', 'said', '.\n']"	1dd38a9f5ae54deca568306becc685d5
MAX Factor cosmetics heir and fugitive rapist Andrew Luster was captured today in Puerto Vallarta, Mexico, authorities in the United States said.	Max Factor cosmetics heir and fugitive rapist Andrew Luster was captured Wednesday in a nightclub at the beach resort of Puerto Vallarta, Mexico, authorities said.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7]	['MAX', 'Factor', 'cosmetics', 'heir', 'and', 'fugitive', 'rapist', 'Andrew', 'Luster', 'was', 'captured', 'today', 'in', 'Puerto', 'Vallarta', ',', 'Mexico', ',', 'authorities', 'in', 'the', 'United', 'States', 'said', '.']	['Max', 'Factor', 'cosmetics', 'heir', 'and', 'fugitive', 'rapist', 'Andrew', 'Luster', 'was', 'captured', 'Wednesday', 'in', 'a', 'nightclub', 'at', 'the', 'beach', 'resort', 'of', 'Puerto', 'Vallarta', ',', 'Mexico', ',', 'authorities', 'said', '.\n']	6839d30dc86f430e818c20082afc955a
The telephone survey had a margin of error of 2 percentage points.	The poll conducted between Oct. 24 and Nov. 2 had a margin of error of 2 percentage points.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'telephone', 'survey', 'had', 'a', 'margin', 'of', 'error', 'of', '2', 'percentage', 'points', '.']	['The', 'poll', 'conducted', 'between', 'Oct.', '24', 'and', 'Nov.', '2', 'had', 'a', 'margin', 'of', 'error', 'of', '2', 'percentage', 'points', '.\n']	5671f6e8d5884085b97df3518571c37b
Yesterday, two Japanese diplomats were killed in an apparent ambush near Tikrit, 175 kilometres north of the capital.	Two Japanese diplomats were also killed in an ambush near Tikrit, according to the Japanese Foreign Ministry.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Yesterday', ',', 'two', 'Japanese', 'diplomats', 'were', 'killed', 'in', 'an', 'apparent', 'ambush', 'near', 'Tikrit', ',', '175', 'kilometres', 'north', 'of', 'the', 'capital', '.']	['Two', 'Japanese', 'diplomats', 'were', 'also', 'killed', 'in', 'an', 'ambush', 'near', 'Tikrit', ',', 'according', 'to', 'the', 'Japanese', 'Foreign', 'Ministry', '.\n']	ea08655768c84235accd097e34dfa55d
Investigations by the Air Force inspector general and the Defense Department also are under way.	The Air Force inspector general and the Pentagon also are investigating.	[1, 2, 6, 0, 0, 0, 0]	[1, 0, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 0, 0, 0, 6]	[6, 6, 6, 6, 6, 6, 6, 2, 6, 0, 1, 6]	['Investigations', 'by', 'the', 'Air', 'Force', 'inspector', 'general', 'and', 'the', 'Defense', 'Department', 'also', 'are', 'under', 'way', '.']	['The', 'Air', 'Force', 'inspector', 'general', 'and', 'the', 'Pentagon', 'also', 'are', 'investigating', '.\n']	55f9883aa1ef4327bb3ca1eac5f0cbda
The next court session will be when the three-judge tribunal announces its verdict in mid-February.	The court's three-judge tribunal was expected to give its verdict next February.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 2, 2, 7]	[7, 7, 7, 7, 7, 1, 1, 1, 1, 7, 7, 2, 2, 7]	['The', 'next', 'court', 'session', 'will', 'be', 'when', 'the', 'three-judge', 'tribunal', 'announces', 'its', 'verdict', 'in', 'mid-February', '.']	"['The', 'court', ""'s"", 'three-judge', 'tribunal', 'was', 'expected', 'to', 'give', 'its', 'verdict', 'next', 'February', '.\n']"	3c52c63048b24b3293238044bf51b4a1
But as more people were shot, Moose had to admit that he couldn't give the public the safety it needed.	But as time passed and more people were shot, Moose had to admit that he couldn't give the public what it needed most from the police - safety.	[5, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 5, 5, 7]	[0, 0, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 5, 0]	"['But', 'as', 'more', 'people', 'were', 'shot', ',', 'Moose', 'had', 'to', 'admit', 'that', 'he', 'could', ""n't"", 'give', 'the', 'public', 'the', 'safety', 'it', 'needed', '.']"	"['But', 'as', 'time', 'passed', 'and', 'more', 'people', 'were', 'shot', ',', 'Moose', 'had', 'to', 'admit', 'that', 'he', 'could', ""n't"", 'give', 'the', 'public', 'what', 'it', 'needed', 'most', 'from', 'the', 'police', '-', 'safety', '.\n']"	3433e7a15ecb446796b231a5ce177283
